2024-12-27 15:36:22,495 - INFO - Iniciando rastreador combinado GPS + BLE
2024-12-27 15:36:22,506 - INFO - GPS conectado en COM29
2024-12-27 15:36:22,506 - INFO - Iniciando captura por 15 segundos
2024-12-27 15:36:22,507 - INFO - === Iniciando recepción de buffers combinados ===
2024-12-27 15:36:26,903 - INFO - 
├─ Secuencia: #19
├─ Dispositivos: 10 (33:4A:AD:EC:5C:52(RSSI:-68dB), DB:87:C0:9F:B8:EE(RSSI:-61dB), C5:BB:10:3B:FA:E3(RSSI:-48dB), ... +7 más)
├─ Anuncios raw: 116
└─ GPS: ✓
   └─ Pos: 37.614057, -0.970623 (22.59 knots)
2024-12-27 15:36:31,976 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,977 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,977 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,977 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,978 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,978 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,978 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,979 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,979 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,979 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,979 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,980 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,980 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,980 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,980 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,982 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,982 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,982 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,983 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,983 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,983 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,984 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,984 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,984 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,985 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,985 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,985 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,986 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,986 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,986 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,987 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,987 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,987 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,988 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,988 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,988 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,988 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,989 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,989 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
2024-12-27 15:36:31,989 - ERROR - Error inesperado: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
